condition,drugName,rating,sideEffects,review,sentiment
abnormal uterine bleeding,trinessa,10,Extremely Severe Side Effects,bc month love tried bcs past experienced side effect one started pull due hormonal imbalance abnormal period acne cleared problem ortho tri cyclen worried try something else made blood pressure sky rocket doctor recommended lower dose see would trigger high blood pressure issue even trinessa please try pill talk doctor something almost everyone,-0.125
abnormal uterine bleeding,loseasonique,1,Mild Side Effects,breakthrough bleeding started day started taking day get worse day think last pack rather heavy period day light bleeding least get least day break period,0.333333333
abnormal uterine bleeding,junel fe,5,Extremely Severe Side Effects,taken countless birth control mainly used awful heavy period switch numerous time due problem always arising bc take always clear skin perfect breakout nice skin june fe month skin horrendous back acne chest even breaking bump forehead cheek never acne cheek even starting come neck take acne luckily severe mood swing depression switched bc pill last time heard medication bad making crazy depressed know stuff made break bad,-0.125
abnormal uterine bleeding,aviane,9,Extremely Severe Side Effects,hell time finding right b c major mood swing cramp nonstop bleeding sex drive far like aviane im second month longer bleeding first pack awhile body adjust moodswings normal sex drive breast bit tender larger mad appetite bit bigger thats good need gain weight,-0.125
abnormal uterine bleeding,cryselle,10,Extremely Severe Side Effects,prescribed cryselle extremely heavy period due fibroid tumor bleeding experienced interfered daily life also caused anemia seemed getting heavier month started taking cryselle month ago experienced negative side effect expected break bleeding month two attributed body adjusting medication period much lighter also pm type symptom like sore breast bloating significantly decreased pleased far cryselle,-0.125
abnormal uterine bleeding,ortho micronor,6,Mild Side Effects,first year fine constantly bleeding constant spot face never also gained lot weight inexplicably make constantly think baby weight good better iud long shot though,0.333333333
abnormal uterine bleeding,alesse,1,Mild Side Effects,complete nightmare always sensitive hormonal birth control method doctor prescribed alesse first month fine constantly hungry boob hurt manageable barely finished second pack stop mood gained least pound always hungry breast hurt like anything week breakthrough bleeding cherry top cake yeast infection yay poison never,0.333333333
abnormal uterine bleeding,gildess fe,1,Mild Side Effects,different form bc several year apparently effective got older gyn prescribed gildess suggested try month see condition improved gildess total month kept mind must allow time mo body adjust although experienced side effect start gave shot experienced uncontrollable mood swing felt depressed tired time worst side effect though extreme headache experienced taking medication know everyone different would never recommend pill anyone,0.333333333
abnormal uterine bleeding,ortho tri cyclen,10,Mild Side Effects,helpful,0.333333333
abnormal uterine bleeding,quasense,5,Mild Side Effects,birth control little year originally started period painful would pas overall irregular first week nausea really really sick also lost sex drive boyfriend think attracted anymore skin became really sensitive ever time exposed sun long amount time develop rash also took body getting use lot spotting first fue month overall think drug job side effect much,0.333333333
abnormal uterine bleeding,tri lo sprintec,1,Mild Side Effects,know stuff still market main issue pill bleeding period never spotted amethyst full month bleeding weird confusing know body well known menstruation actually began asked doctor take asap put back amethyst covered anyways,0.333333333
abnormal uterine bleeding,microgestin fe,2,Mild Side Effects,initially given two lo loestrin fe sample issue making switch microgestin fe day ago due breaking rash zigzag across top thigh nerve issue numbness pain tingling made difficult walk foot stop taking pill day use relieved know work many,0.333333333
abnormal uterine bleeding,previfem,2,Mild Side Effects,bc week day started constant headache point even tolerate awake forced take nap pain mood chart even typing oh yea skin terrible problem acne pill last bc dial patch oh loved patch provider offer anymore yes bc pain since day one also get frequent sharp pain lower abdomen reason still taking hoping side effect stop apt doc next week gave since gotten pregnant also sex due,0.333333333
abnormal uterine bleeding,jolessa,9,Mild Side Effects,jolessa awesome spotting first pack worked great began using time doctor suggested take first month stop week get period continue nd third month period first pack minimize eliminate break bleeding spotting worked well happier regulated way le painful,0.333333333
abnormal uterine bleeding,levora,10,Moderate Side Effects,birthcontrol work great taking near year problem may contributed lb much else lessened period day heavy flow day relatively light skin really changed contribute emotional change,0
abnormal uterine bleeding,lyza,1,Mild Side Effects,given lyza migraine long story short soon started taking problem migraine seem even worse made really moody depressed mention never break period lucky get day always period definitely would recommend,0.333333333
abnormal uterine bleeding,necon,9,Mild Side Effects,although effective found spotting nuisance,0.333333333
abnormal uterine bleeding,sronyx,2,Mild Side Effects,far good taking sronyx day maybe get better month time experienced heaviest period life excessive clotting cramp reduced however prone acne increased occurrence pimple since taking generally feel like,0.333333333
abnormal uterine bleeding,apri,7,Mild Side Effects,apri month birth control help intense bleeding incredibly enlarged uterus please keep mind reading side effect typical apri apri given symptom pregnancy without baby wake nauseous night terror almost every night waking bawling normal strange craving egg whereas never really liked also slight mood swing bad controlled however changed period length day day removed cramping regulated cycle saved uterus get,0.333333333
abnormal uterine bleeding,desogestrel   ethinyl estradiol,8,Mild Side Effects,apri month gained around pound noticeable breast size changed neither sex drive use pill awful period used cry vomit cramp using birth control well never pregnant strongly strongly recommend pill,0.333333333
abnormal uterine bleeding,ethinyl estradiol   etonogestrel,1,Mild Side Effects,bad experience started taking control endometriosis started become emotional mdd anxiety went roof depression hit rock bottom idea side affect nuva ring bad cramp feel icky time back pill feel much better already,0.333333333
abnormal uterine bleeding,ortho tri cyclen lo,9,Mild Side Effects,took month body adapt pill worked really well lightened period made day shorter always came time first month might spotting rest year,0.333333333
abnormal uterine bleeding,seasonale,1,Mild Side Effects,birth control worst ok consistent bleeding month try something else worth week eight still bleeding spotting wish would read review starting prescription hate could rate zero would,0.333333333
abnormal uterine bleeding,conjugated estrogens,1,Mild Side Effects,put mg constant bleeding nexplanon implant caused work made sick yo mother prior nexplanon premarin never used kind hormonal medicine terrible pain left side calf whole left side body numb chest pain rapid heart beat pal palpation shortness breath dizziness unbalanced nausea felt like dying,0.333333333
abnormal uterine bleeding,errin,5,Mild Side Effects,took month following pregnancy great leveling mood allowed lose weight helpful controlling period,0.333333333
abnormal uterine bleeding,jolivette,1,Mild Side Effects,non stop period month ago doctor prescribed jolivette let period stop day bleeding stop annoying feel gushing blood asked doctor switch another pill,0.333333333
abnormal uterine bleeding,levlen,9,Mild Side Effects,experience contraceptive rocky one levlen far contraceptive tried lead constant black discharge implanon several time prescribed slightly different pill absolutely nothing could regular discharge period sometimes month time taking levlen two day discharge would return normal definitely preferred contraceptive method,0.333333333
abnormal uterine bleeding,aygestin,1,No Side Effects,started may two week later full blown period bad cramping lot blood clot heavy bleeding prior taking medicine extremely light spotting every week according fda taking since post menopausal,0
abnormal uterine bleeding,falmina,6,Mild Side Effects,falmina month fence abnormal period last almost two week period come last week active pill last almost day acne bad far nausea pretty terrible doctor said give least month see,0.333333333
abnormal uterine bleeding,lutera,8,Mild Side Effects,excess facial hair always problem well abnormally heavy period first time life worry waking dark hair sprouting chin three month ago taking pill plucking waxing every day upper lip chin hair reduced year old anyone else experience oc common treatment excess hair wondering life changing experience think imagining thing went plucking least day couple time week thanks reading,0.333333333
abnormal uterine bleeding,mestranol   norethindrone,9,Mild Side Effects,always irregular period ever since started sent er twice severe anemia heavy bleeding lead total blood transfusion complete nightmare allow happen anymore doctor put necon first time ever birth control scared reading terrible story side effect hesitant glad currently week side effect well classic pm nothing severe waiting period week make full assessment far good continue pack plan lowering dose next month,0.333333333
abnormal uterine bleeding,microgestin,1,Mild Side Effects,prescribed mirogestin experiencing prolonged abnormal bleeding birth control decade say hate drug three week miserable want continue taking month experience started taking pill cycle directed ob gyn last day cycle flow lessening suddenly got heavier spent five day dealing extremely heavy flow every min stopped day started sore lower back abdomen constantly increased appetite fatigue emotional advil constant without wreck,0.333333333
abnormal uterine bleeding,orsythia,3,Extremely Severe Side Effects,put originally irregular bleeding normally week period would spot period day done since put orsythia already fully bleeding week plus week heavy spotting hand needle say emergency ob appointment monday get something else make condition worse already two thing helped life altering cramp body pain pm also take away sex drive though could even sex erratic bleeding would recommend worse enemy,-0.125
abnormal uterine bleeding,premarin,1,Extremely Severe Side Effects,one worst medicine ever conceive baby lead u miscarriage,-0.125
abnormal uterine bleeding,chateal,3,Mild Side Effects,taking chateal sprintec year flawless experience sprintec health insurance ended left chateal first month fine time started spotting period frequently careful taking time every day still spotting persisted year chateal month spotting switched back sprintec week ago spotting yet also chateal felt lot time pretty bad anxiety rather pay pocket sprintec get chateal free kept getting pregnant though work sense,0.333333333
abnormal uterine bleeding,loestrin,9,Moderate Side Effects,first week amazing first week horrible headache nausea body got used hormone went away little side effect weight gain bc tried heavy period awful cramp making miss school work made period light regular tolerable cramp life saver good luck generic loestrin got expensive discontinued oh also pregnancy,0
abnormal uterine bleeding,tri linyah,5,Moderate Side Effects,switched different generic version ortho tri cyclen favorite terrible cystic acne help lot nothing period period without birth control caused haze nausea vomiting terrible cramping heavy bleeding tri linyah mostly generic pill tried least eased period bearable tri linyah also know expect period would longer start different time lighter heavier sure different generic medication type really noticed one definitely different,0
abnormal uterine bleeding,trinessa lo,9,Mild Side Effects,got birth control year ago ortho tri cyclen lo although loved light period perfect skin like synthetic hormone idea swore never take birth control skip ahead year irregular period extremely painful heavy flow spotting lasting week obgyn strongly encouraged trying within day taking trinessa lo bleeding stopped hesistant review experienced side effect except low sex drive,0.333333333
abnormal uterine bleeding,alyacen,1,Mild Side Effects,started taking pill month ago far helped heavy period doctor told might take cycle start working currently rd period since taking pill time period way heavier last two awful cramp rarely cramped using pill anxiety time terrified might develop blood clot give one month look pill guess probably gonna write another review yeah also period heavy since around praying work barely move around stand period otherwise bleed place,0.333333333
abnormal uterine bleeding,amethia lo,2,No Side Effects,always suffered heavy period tried nuvaring nothing happened tried iud slipped first month went back dr suggested seasonique generic brand worked one month started bleed heavier ever bled go house long period time flow heavy leak super tampon overnight pad way day dr said wait iam going stopped taking pill iam hoping flow slow stop sometime soon recommend pill,0
abnormal uterine bleeding,balziva,6,No Side Effects,decent experience balziva right everybody different mean great someone else birth control period coming every week balziva came halfway pack lasted end pack happened month doctor switched different one weird period positive experience balziva think face break little bit nothing serious breast also little bit sensitive gained pound quite sure due balziva away college overall good experience,0
abnormal uterine bleeding,camila,1,No Side Effects,started medication month ago trial alternative hysterectomy thus far experienced bleeding great way spend summer abdominal pain never knowing start bleed awful wait meet doctor next month get drug,0
abnormal uterine bleeding,camreselo,10,Severe Side Effects,year old taking camreselo approximately half year love pill side effect birth control continuously since extremely heavy irregular menstruation camreselo year flow became minimal year period last day amazing considering minimal spotting month active pill also reduced cramp used bad move,0
abnormal uterine bleeding,ethinyl estradiol   ethynodiol,3,No Side Effects,took zovia pink packet manufactured watson year problem change weight acne le painful shorter period early manufacturer changed mayne blue packet took day immediately stopped causing acne kelnor main ingredient zovia however zovia pink packet better case bad longer manufactured,0
abnormal uterine bleeding,heather,4,Moderate Side Effects,heather daily pill one month half really liking getting period every week day even worse start thursday mean weekend going finish rest month pill get better switching something else,0
abnormal uterine bleeding,lo   ovral,10,Moderate Side Effects,put lo ovral abnormal bleeding basically week non stop stayed year old problem previously young girl moody lot struggle lo ovral one hard day month prior getting period otherwise great never noticed weight change spotting acne symptom cramping heavy bleeding two child without difficulty relating taking birth control long problem older longer work spot month truly struggling find good replacement birth control may work good everyone afraid try,0
abnormal uterine bleeding,low ogestrel,8,Moderate Side Effects,medication control period year young period stopped trying many thing taking even though longer child year gained weight know pill exercise regularly eat healthy would recommend anyone try,0
abnormal uterine bleeding,megace,10,Moderate Side Effects,abnormal bleeding known cause medicine god send instead period day year get,0
abnormal uterine bleeding,nortrel,10,Moderate Side Effects,worked great abnormal bleeding great mood swing made fat fat fat,0
abnormal uterine bleeding,ortho cyclen,8,No Side Effects,started medication control bleeding skin clear usually acne anyway mood fine even better regulated many side effect pill one big one breakthrough bleeding every time turned around also wear contact caused dry eye think good pill cycle remains regular insurance paid medication fee,0
abnormal uterine bleeding,ortho novum,8,Extremely Severe Side Effects,work well heavy period,-0.125
abnormal uterine bleeding,ovcon,10,No Side Effects,given ovcon year ago abnormal irregular bleeding decided try hysterectomy problem near menopause age want surgery everything healthy worked great little side effect got ovcon without surgery,0
abnormal uterine bleeding,portia,3,No Side Effects,really bad period experience past used pain cramp first month started taking pill period painful took midols one day know bad idea could stand pain nose bleeds never doctor said stay see body would get used period pain got better exhausted time wanted sleep gained ten pound five month decided worth,0
abnormal uterine bleeding,tri lo marzia,10,Mild Side Effects,put tri lo marzia heavy period working wonder light period le ache pain regular period,0.333333333
abortion,misoprostol,7,Mild Side Effects,second day dose headache dizziness severe cramping bloating stomach faint heart recommend pill hard unsure overall permanent effect,0.333333333
abortion,cytotec,9,No Side Effects,used induce unwanted pregnancy worked immediately first got scared clotting nonstop suddenly,0
abortion,mifepristone,7,Moderate Side Effects,non stop bleeding day using drug need extra attention normal,0
acetaminophen overdose,acetylcysteine,9,Severe Side Effects,really early morning went take tylenol misread direction meant measure two tablespoon drug accidentally used measuring cup instead ended chugging two cup tylenol instead rushed hospital given mucomyst offset effect mucomyst saved life thank mucomyst,0
acetaminophen overdose,mucomyst,9,Moderate Side Effects,really early morning went take tylenol misread direction meant measure two tablespoon drug accidentally used measuring cup instead ended chugging two cup tylenol instead rushed hospital given mucomyst offset effect mucomyst saved life thank mucomyst,0
acial lipoatrophy,dermal filler,10,Mild Side Effects,tried juverderm voluma radiesse filling loss volume check worked well radiesse lasted twice long seemed even improve month since stimulates collagen production radiesse also economical cost wise,0.333333333
acial wrinkles,dermal filler,10,Mild Side Effects,tried juverderm voluma radiesse filling loss volume check worked well radiesse lasted twice long seemed even improve month since stimulates collagen production radiesse also economical cost wise,0.333333333
acial wrinkles,onabotulinumtoxina,1,Mild Side Effects,done twice forehead eye time experienced pimple injection site last week read review happened hundred woman yet doctor want claim possible come botox find doctor wrong one two people several hundred people experiencing long term pimple injection site botox botox supposed get rid headache actually make mine worse using ever heard dysport much better try botox cause pimple matter dr say hundred user experienced pimple therefore proof people using,0.333333333
acial wrinkles,botox cosmetic,1,Mild Side Effects,done twice forehead eye time experienced pimple injection site last week read review happened hundred woman yet doctor want claim possible come botox find doctor wrong one two people several hundred people experiencing long term pimple injection site botox botox supposed get rid headache actually make mine worse using ever heard dysport much better try botox cause pimple matter dr say hundred user experienced pimple therefore proof people using,0.333333333
acial wrinkles,abobotulinumtoxina,10,Mild Side Effects,highly recommend dysport using ever since became available dysport work much better le expensive last long time soon year young used deep laugh line around eye area cheek also brow forehead line gone recently returned botox good deal unfortunately botox lasted week also using obaji retiina think skin look better twenty year ago hope dysport eventually becomes affordable highly recommend,0.333333333
acial wrinkles,botox,10,Mild Side Effects,botox successfully appearance fine line wrinkle face happy result far,0.333333333
acial wrinkles,dysport,5,Moderate Side Effects,experienced dizziness headache lump pain first day injection week passed symptom still present,0
acial wrinkles,tazarotene,8,Mild Side Effects,used medicine younger acne hated made break even worse however since getting older le acne started using wrinkle initially cause small breakout derm said get worse get better hang worth end within day shed seemed like entire layer skin like snake revealed baby soft smooth glowing skin far le noticeble line acne scar discoloration extremely please result live without love looking mirror give try patient happy end result,0.333333333
acial wrinkles,juvederm voluma xc,7,Mild Side Effects,help sad line mouth look great cheek filler bruising would say oddest reaction appetite three day,0.333333333
acne,isotretinoin,10,Extremely Severe Side Effects,accutane month bad thing would say dryness migraine part suck day treatment month doctor twice day started getting nose bleeds terrible migraine made throw told doctor backed day acne started clearing first month still bad month two finally clear skin amazing seen day without zit year feel great highly recommend accutane people suffer depressing acne tried proactive time acne free clearasil clean advantage kit homepathic remedy work accutane,-0.125
acne,adapalene   benzoyl peroxide,2,Extremely Severe Side Effects,always clear skin started getting breakout cheek thought epiduo would help two week forehead began breakout horribly cheek remained stayed month forehead got continually worse epiduo breakout would heal left red scarring week ago gave quit epiduo forehead clear mark fading faster cheek still live skin skin hated epiduo gave acne live skin go epiduo may eventually get better go hell first,-0.125
acne,doxycycline,2,Severe Side Effects,absolutely nothing son acne,0
acne,epiduo,9,Extremely Severe Side Effects,bad breakout throughout life worst break life last longer six month ignore pimple around eye literally poking vision every time saw without makeup wanted cry found epiduo broke got better every blocked pore blackhead came surface skin burnt especially around eye keep away area stick stopping drinking milk found cause blocked pore got smoothest skin ever life,-0.125
acne,accutane,5,Mild Side Effects,accuntane month far starting mg day second month mg day going third month mg skin worst ever take comfort countless review medication work one day clear skin small price pay month hell acne free year putting plus side oily skin used suffer distant memory dry lip slight pain although manageable lipstick stay total ten minute dry skin dry hair slightly also hardest part cope horrific breakout however assured normal finger crossed work,0.333333333
acne,benzoyl peroxide   clindamycin,7,Extremely Severe Side Effects,benzaclin made skin dry stiff even smiling difficult two hour applying benzaclin however good job clearing acne severe,-0.125
acne,minocycline,10,No Side Effects,able get first bottle free rest covered insurance pocket monthly yes pricey side taken entire month noticed difference le week stuff miracle finally clear skin,0
acne,tretinoin,3,Extremely Severe Side Effects,acne year life going freshman year high school th month tretinoin treatment honestly want call quits skin going purging phase repeat month honestly keep getting worse would time center face would redden grew even pimple originally cheek also affected tip sleep one side pillow one sleeper balanced diet going back dermatologist september may another treatment,-0.125
acne,ethinyl estradiol   norgestimate,3,Extremely Severe Side Effects,pill week put regulate hormone level passing lot period would ovulate sexually active say week kinda miserable nausea horrible get especially morning middle night giving horrible headache used pretty moody nothing compared constantly irritated take nothing make furious gonna stick month doctor said side effect stop switch something else,-0.125
acne,drospirenone   ethinyl estradiol,6,Extremely Severe Side Effects,confused experience yaz initial breakout skin improving month half ago minor breakout every though yet lately half month skin breaking constantly big pimple mostly along chin jawline lip cheek going see gp soon possible see whether random flare whether yaz suppose work differently everyone,-0.125
acne,adapalene,9,Extremely Severe Side Effects,many pimple face little one black head well live one hottest country world sun available throughout year sandstorm occur often made dirt stick face produce pimple went dermatologist prescribed differin bepantene whatever spell using differin since august nightly sleep november literally zero pimple face redness gone really satisfied literally need patience result bepantene prescribed scar moisturiser since differin dry face little even tho ac highly recommend,-0.125
acne,spironolactone,10,Moderate Side Effects,absolute life changer late antibiotic life treat moderate severe acne besides accutane found success bactrim recently became unable tolerate took four month see result spironolactone relief life revolve around trying unsuccessfully manage breakout cyst anymore experience lightheadedness beginning still occasion cut mg mg beginning help dizziness back mg thankful found med,0
acne,dapsone,8,Moderate Side Effects,absolutely love aczone almost started getting somewhat severe acne turned first thing tried proactiv work tried neutrogena also work also used tropical treatment barely worked january finally went dermatologist help try epiduo acne antibiotic worked pretty well two month started getting bad breakout went back dermatologist said may different type bacteria acne said aczone may better different antibiotic using aczone antibiotic almost month face almost clear,0
acne,aczone,8,Mild Side Effects,absolutely love aczone almost started getting somewhat severe acne turned first thing tried proactiv work tried neutrogena also work also used tropical treatment barely worked january finally went dermatologist help try epiduo acne antibiotic worked pretty well two month started getting bad breakout went back dermatologist said may different type bacteria acne said aczone may better different antibiotic using aczone antibiotic almost month face almost clear,0.333333333
acne,ethinyl estradiol   norethindrone,8,Extremely Severe Side Effects,put loestrin abnormal period daughter experience change mood first birth control cup size increased first month stayed size negative side effect developed two dark spot melasma upper lip worsened exposure sun long use sun block getting worse make self conscience pill regulating effective birth control,-0.125
acne,duac,10,Mild Side Effects,absolutely amazing first got unsure used redness flakiness nothing week acne gone week acne free using month feel confident scared sweat get dirty used duac night day protected acne jd spot like month,0.333333333
acne,differin,10,No Side Effects,absolutely amazing since used medicine face cleared le month lot bump forehead pimple face including cheek also feel helping acne scar really hoped helped people live clear skin,0
acne,sulfamethoxazole   trimethoprim,8,Extremely Severe Side Effects,bactrim year control acne get breakout nearly bad,-0.125
acne,clindamycin   tretinoin,9,Mild Side Effects,acne since teen usually get worse go big life change move new job etc also get acne eating greasy food using clindamycin trentinoin past year result nothing short amazing skin looking clear trentinoin amazing repairing scar evening skin tone patient using product healthy lifestyle help tremendously ride bike work mile roundtrip hot yoga sweating help also ditched makeup eat lot water vitamin rich food prescription solve problem right thing little rx assistance effective,0.333333333
acne,yaz,7,Extremely Severe Side Effects,prescribed yaz doc told ask generic brand directed however looked review yaz vestura generic brand settled getting home research vestura realize birth control effect people differently going great review terrible one vestura terrible review took vestura anyway wow biggest mistake ever take vestura spend money yaz vestura made worst mood swing cry hour nothing hyper next minute week yaz even lost pound skin clearing love,-0.125
acne,claravis,10,Extremely Severe Side Effects,claravis miracle sure ravaged body month dry skin sore body skin clear skin like japanese geisha woman dude reviewer said get rid blackhead never knew even correct seriously acne cyst used hurt pain free,-0.125
acne,yasmin,8,Moderate Side Effects,acne entire life tried everything roaccutane special diet expensive cream nothing worked started yasmin skin became absolutely flawless wanted kid stopped pill acne came back instantly son month started yasmin need acne gone annoying skin bad pill make crazy take craziness clear skin sex drive disappeared lost weight plus,0
acne,solodyn,10,Severe Side Effects,able get first bottle free rest covered insurance pocket monthly yes pricey side taken entire month noticed difference le week stuff miracle finally clear skin,0
acne,tri sprintec,5,Mild Side Effects,almost went really heavy period bad cramp would pas regularly little two week period stopped heavy first four day became really light last week almost like spotting never happened breast hurt really bad sure gained lost weight started dieting right went pill far hate pill month hoping next month better one,0.333333333
acne,loestrin    fe,3,Extremely Severe Side Effects,started pill excited stop right middle pack mean nowhere burst bleeding went bathroom like period snuck almost week period due lot clot brown yucky stuff top mood really crazy would lying bed would feel like cry okay next moment two day cause take crazy mood swing bleeding anymore also noticed great deal fatigue even changed even day loestrin worth cannot wait system,-0.125
acne,trinessa,10,Extremely Severe Side Effects,bc month love tried bcs past experienced side effect one started pull due hormonal imbalance abnormal period acne cleared problem ortho tri cyclen worried try something else made blood pressure sky rocket doctor recommended lower dose see would trigger high blood pressure issue even trinessa please try pill talk doctor something almost everyone,-0.125
acne,clindamycin,10,Severe Side Effects,always acne especially around mouth forehead cystic painful ugly tried medicine facial expensive face wash washing face everything became pregnant problem became much worse bad actually people comment asked baby doctor could prescribed gel problem stayed week gradually got better better break week skin tone actually improving would recommend anyone continue use baby well,0
acne,bactrim,10,Mild Side Effects,acne forever went accutane cleared good year acne came back went back dermatologist prescribed bactrim start working till week started noticing face getting clearer unfortunately taking bactrim long time good long time starting back square one best month,0.333333333
acne,ziana,9,Mild Side Effects,absolutely love medication little unsure since everything used past work went well known dermatolgist must say skin look good really hard grasp glycolic acid peel first visit started using medication every night develop pimple using stayed washing face cerave hydrating cleanser morning night like instructed applying sun screen outside today second glycolic peel doctor saw pleased result week good thing said think skin look good wait another month really amazing went house first time make yay really work,0.333333333
acne,benzaclin,10,Mild Side Effects,absolutely love product severe acne since nothing worked skin tried clindoxyl gel month saw little effect made skin drier went doctor asked solution prescribed benzaclin gel applied every single night washing face within month saw result skin brighter acne almost completely stopped month using third month skin amazing breakout started use oil cleansing method skin better ever stopped gel acne came back within week using skin better ever,0.333333333
acne,acanya,10,Mild Side Effects,absolutely love product take time fully work end result amazing skin dry try applying small amount moisturizer really spot treatment product apply whole face dry much,0.333333333
acne,doryx,2,Mild Side Effects,absolutely nothing son acne,0.333333333
acne,ortho tri cyclen,10,Mild Side Effects,helpful,0.333333333
acne,retin a,9,Moderate Side Effects,accutane isotretinoin december july severe acne face chest back shoulder post accutane skin clear water got many compliment skin skin clear never got one pimple mid april noticed pimple reappearing skin got touch derm prescribed tretinoin face wash sodium sulfacetamide salycic acid gel little week seen significant improvement since started experience month half initial breakout highly recommend gel give take time skin still clearing patience,0
